number,title,source,title_lower,has_erc20,has_erc721,has_erc1155,has_safemath,has_accesscontrol,has_governor,has_ownable,has_proxy,has_timelock,has_merkle,op_transfer,op_approve,op_mint,op_burn,op_initialize,op_deploy,op_upgrade,op_delegatecall,op_verify,op_validate,is_bug_related,dasp_category,confidence
4884,Fixed ERC1155 token transfer for unauthorized account,fix,fixed erc1155 token transfer for unauthorized account,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,访问控制问题,3.0
4820,Security Enhancement: Fix squaring in mulDiv function in Math library,fix,security enhancement: fix squaring in muldiv function in math library,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,3.5
4238,Fix bug allowing anyone to cancel an admin renounce,fix,fix bug allowing anyone to cancel an admin renounce,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,2.5
4184,Fix Checkpoints fuzz overflow,fix,fix checkpoints fuzz overflow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,2.5
4177,Fix AccessControlDefaultAdminRules admin consistency,fix,fix accesscontroldefaultadminrules admin consistency,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,3.5
4046,Fix flaky timestamp tests ,fix,fix flaky timestamp tests ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,操纵区块时间戳,2.5
2852,Fix EIP712 for delegatecalls,fix,fix eip712 for delegatecalls,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,未知函数调用,2.5
2572,Fix AccessControlEnumerable not tracking renounceRole,fix,fix accesscontrolenumerable not tracking renouncerole,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,2.5
2448,Bug in ERC20PresetMinterPauserUpgradeable - symbol is not initialized,bug,bug in erc20presetminterpauserupgradeable - symbol is not initialized,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,错误的构造器命名,3.0
2251,Fix multiplication overflow of int256,fix,fix multiplication overflow of int256,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,3.5
1583,[WIP] Fix #1582. Declare Ownable owner as an address payable,fix,[wip] fix #1582. declare ownable owner as an address payable,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,3.5
1158,Bug fix - `owner` is not the real owner,fix,bug fix - `owner` is not the real owner,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,2.5
865,Fix SafeMath test file,fix,fix safemath test file,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,3.0
854,SafeMath.test.js Bug,bug,safemath.test.js bug,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,3.0
850,fix potential overflow on decimals,fix,fix potential overflow on decimals,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,3.5
725,Fixed point multiplication and division functions in SafeMath,fix,fixed point multiplication and division functions in safemath,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,5.0
323,Fix/ownable error - Silent transferOwnership Failure,fix,fix/ownable error - silent transferownership failure,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,访问控制问题,3.5
290,Fix references to SafeMath in crowdsale contracts,fix,fix references to safemath in crowdsale contracts,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,3.0
268,fixes #262. Make Ownable's owner configurable in construction time,fix,fixes #262. make ownable's owner configurable in construction time,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,3.5
183,Fix vesting calculation logic,fix,fix vesting calculation logic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,2.5
